Metoda,k,Norma,RR
Standard,20,Euclidean,0.9875
Standard,20,Manhattan,0.975
Standard,20,Cosine,0.9875
Standard,20,Infinit,0.9875
Standard,40,Euclidean,0.9875
Standard,40,Manhattan,0.975
Standard,40,Cosine,0.9875
Standard,40,Infinit,0.9875
Standard,60,Euclidean,0.9875
Standard,60,Manhattan,0.975
Standard,60,Cosine,0.9875
Standard,60,Infinit,0.9875
Standard,80,Euclidean,0.9875
Standard,80,Manhattan,0.975
Standard,80,Cosine,0.9875
Standard,80,Infinit,0.9875
Standard,100,Euclidean,0.9875
Standard,100,Manhattan,0.9625
Standard,100,Cosine,0.9875
Standard,100,Infinit,0.9875
Clase,20,Euclidean,0.025
Clase,20,Manhattan,0.0625
Clase,20,Cosine,0.6375
Clase,20,Infinit,0.025
Clase,40,Euclidean,0.025
Clase,40,Manhattan,0.0625
Clase,40,Cosine,0.775
Clase,40,Infinit,0.025
Clase,60,Euclidean,0.025
Clase,60,Manhattan,0.0625
Clase,60,Cosine,0.775
Clase,60,Infinit,0.025
Clase,80,Euclidean,0.025
Clase,80,Manhattan,0.0625
Clase,80,Cosine,0.775
Clase,80,Infinit,0.025
Clase,100,Euclidean,0.025
Clase,100,Manhattan,0.0625
Clase,100,Cosine,0.775
Clase,100,Infinit,0.025
Lanczos,20,Euclidean,0.975
Lanczos,20,Manhattan,0.975
Lanczos,20,Cosine,0.975
Lanczos,20,Infinit,0.975
Lanczos,40,Euclidean,0.9625
Lanczos,40,Manhattan,0.9625
Lanczos,40,Cosine,0.975
Lanczos,40,Infinit,0.9875
Lanczos,60,Euclidean,0.975
Lanczos,60,Manhattan,0.9625
Lanczos,60,Cosine,0.975
Lanczos,60,Infinit,0.9875
Lanczos,80,Euclidean,0.975
Lanczos,80,Manhattan,0.9625
Lanczos,80,Cosine,0.975
Lanczos,80,Infinit,0.9875
Lanczos,100,Euclidean,0.975
Lanczos,100,Manhattan,0.9625
Lanczos,100,Cosine,0.975
Lanczos,100,Infinit,0.9875
