Method,k,Norm,RR
Standard,20,Euclidean,0.9875
Standard,20,Manhattan,0.975
Standard,20,Cosine,0.9875
Standard,20,Infinity,0.9875
Standard,40,Euclidean,0.9875
Standard,40,Manhattan,0.975
Standard,40,Cosine,0.9875
Standard,40,Infinity,0.9875
Standard,60,Euclidean,0.9875
Standard,60,Manhattan,0.975
Standard,60,Cosine,0.9875
Standard,60,Infinity,0.9875
Standard,80,Euclidean,0.9875
Standard,80,Manhattan,0.975
Standard,80,Cosine,0.9875
Standard,80,Infinity,0.9875
Standard,100,Euclidean,0.9875
Standard,100,Manhattan,0.9625
Standard,100,Cosine,0.9875
Standard,100,Infinity,0.9875
Classes,20,Euclidean,0.025
Classes,20,Manhattan,0.0875
Classes,20,Cosine,0.6625
Classes,20,Infinity,0.0375
Classes,40,Euclidean,0.025
Classes,40,Manhattan,0.0375
Classes,40,Cosine,0.8625
Classes,40,Infinity,0.0375
Classes,60,Euclidean,0.025
Classes,60,Manhattan,0.0375
Classes,60,Cosine,0.8625
Classes,60,Infinity,0.0375
Classes,80,Euclidean,0.025
Classes,80,Manhattan,0.0375
Classes,80,Cosine,0.8625
Classes,80,Infinity,0.0375
Classes,100,Euclidean,0.025
Classes,100,Manhattan,0.0375
Classes,100,Cosine,0.8625
Classes,100,Infinity,0.0375
Lanczos,20,Euclidean,0.9875
Lanczos,20,Manhattan,0.9875
Lanczos,20,Cosine,0.975
Lanczos,20,Infinity,0.9875
Lanczos,40,Euclidean,0.975
Lanczos,40,Manhattan,0.975
Lanczos,40,Cosine,0.975
Lanczos,40,Infinity,0.9875
Lanczos,60,Euclidean,0.9875
Lanczos,60,Manhattan,0.975
Lanczos,60,Cosine,0.9625
Lanczos,60,Infinity,0.9875
Lanczos,80,Euclidean,0.9875
Lanczos,80,Manhattan,0.9875
Lanczos,80,Cosine,0.9625
Lanczos,80,Infinity,0.9875
Lanczos,100,Euclidean,0.9875
Lanczos,100,Manhattan,0.975
Lanczos,100,Cosine,0.9625
Lanczos,100,Infinity,0.9875
